Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202004,April 2020,4,0,1,Imports,428,Latvia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,3885022,,102436,,,0
HS,2020,202002,February 2020,4,0,2,Exports,392,Japan,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,475288000,,5587658,,,0
HS,2020,202004,April 2020,4,0,1,Imports,392,Japan,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,35698000,,2807179,,,0
HS,2020,202002,February 2020,4,0,1,Imports,428,Latvia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,260814,,28926,,,0
HS,2020,202001,January 2020,4,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,482920,,537,,,0
HS,2020,202005,May 2020,4,0,1,Imports,392,Japan,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,14052000,,1144049,,,0
HS,2020,202003,March 2020,4,0,1,Imports,381,Italy,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,25500,,6760,,,0
HS,2020,202001,January 2020,4,0,1,Imports,372,Ireland,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,3957563,,222099,,,0
HS,2020,202001,January 2020,4,0,1,Imports,428,Latvia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,121338,,8979,,,0
HS,2020,202002,February 2020,4,0,1,Imports,440,Lithuania,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,1515670,,66912,,,0
